DEBUG: General     , 1685206362196> 163.205.097> LoggerManager.init                  > Initializing...
LOG  : General     , 1685206362236> 163.205.129> cachedir set to "C:\Users\zehio\Zomboid"
LOG  : General     , 1685206362316> 163.205.210> version=41.78.16 demo=false
LOG  : General     , 1685206362316> 163.205.210> revision= date= time=
LOG  : General     , 1685206362318> 163.205.212> server name is "zehio"
LOG  : General     , 1685206362318> 163.205.212> checking server WorldVersion in map_t.bin
LOG  : General     , 1685206362320> 163.205.213> Loading networking libraries...
LOG  : General     , 1685206362320> 163.205.214> Loading steam_api64...
LOG  : General     , 1685206362323> 163.205.217> Loading RakNet64...
LOG  : General     , 1685206362325> 163.205.219> Loading ZNetJNI64...
LOG  : Network     , 1685206362455> 163.205.349> [27-05-23 18:52:42.455] > ZNet: SetLogLevel 1
LOG  : Network     , 1685206362457> 163.205.351> [27-05-23 18:52:42.457] > ZNet: Compiled with SERVER_STEAMAPI == 0
LOG  : Network     , 1685206362457> 163.205.351> [27-05-23 18:52:42.457] > ZNet: Starting with bServer == true
LOG  : Network     , 1685206362458> 163.205.351> [27-05-23 18:52:42.458] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1685206362458> 163.205.351> SteamUtils initialised successfully
LOG  : General     , 1685206370974> 163.213.868> translator: language is ES
LOG  : General     , 1685206371198> 163.214.091> LightingFPS set to 15
LOG  : General     , 1685206371218> 163.214.111> reading C:\Users\zehio\Zomboid\Server\zehio.ini
LOG  : General     , 1685206371219> 163.214.113> writing C:\Users\zehio\Zomboid\Server\zehio.ini
LOG  : Network     , 1685206371232> 163.214.126> [27-05-23 18:52:51.232] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1685206371340> 163.214.234> [27-05-23 18:52:51.340] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1685206371341> 163.214.235> [27-05-23 18:52:51.341] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1685206371342> 163.214.235> [27-05-23 18:52:51.342] > ZNet: SetServerName 'My PZ Server'
LOG  : Network     , 1685206371342> 163.214.236> [27-05-23 18:52:51.342] > ZNet: SetMapName 'Muldraugh, KY'
LOG  : Network     , 1685206371342> 163.214.236> [27-05-23 18:52:51.342] > ZNet: SetGameTags 'hidden;hosted'
LOG  : Network     , 1685206371343> 163.214.236> [27-05-23 18:52:51.343] > ZNet: SetKeyValue key='description' value=''
LOG  : Network     , 1685206371343> 163.214.237> [27-05-23 18:52:51.343] > ZNet: SetKeyValue key='version' value='41.78.16'
LOG  : Network     , 1685206371344> 163.214.237> [27-05-23 18:52:51.344] > ZNet: SetKeyValue key='open' value='1'
LOG  : Network     , 1685206371344> 163.214.238> [27-05-23 18:52:51.344] > ZNet: SetKeyValue key='public' value='0'
LOG  : Network     , 1685206371344> 163.214.238> [27-05-23 18:52:51.344] > ZNet: SetKeyValue key='mods' value='EQUIPMENT_UI;BB_CommonSense;MoreDescriptionForTraits4166;Named Literature;TMC_TrueActions;TrueActionsDancing;TrueActions4Talking'
LOG  : Network     , 1685206371344> 163.214.238> [27-05-23 18:52:51.344] > ZNet: key='mods:1/1' value='EQUIPMENT_UI;BB_CommonSense;MoreDescriptionForTraits4166;Named Literature;TMC_TrueActions;TrueActionsDancing;TrueActions4Talkin'
LOG  : Network     , 1685206371345> 163.214.238> [27-05-23 18:52:51.345] > ZNet: SetKeyValue key='modCount' value='8'
LOG  : Network     , 1685206371345> 163.214.239> [27-05-23 18:52:51.345] > ZNet: SetKeyValue key='pvp' value='1'
LOG  : General     , 1685206371346> 163.214.240> Waiting for response from Steam servers
LOG  : Network     , 1685206372960> 163.215.853> [27-05-23 18:52:52.960] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1685206372960> 163.215.853> [27-05-23 18:52:52.960] > ZNet: OnSteamServersConnected
LOG  : Network     , 1685206372961> 163.215.854> [27-05-23 18:52:52.961] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1685206372961> 163.215.854> [27-05-23 18:52:52.961] > ZNet: Public IP: 79.116.20.171
LOG  : Network     , 1685206373201> 163.216.094> [27-05-23 18:52:53.201] > ZNet: SSteamSDK -> SZombienet: OnPolicyResponse
LOG  : Network     , 1685206373201> 163.216.094> [27-05-23 18:52:53.201] > ZNet: OnPolicyResponse
LOG  : Network     , 1685206373201> 163.216.095> [27-05-23 18:52:53.201] > ZNet: SZombienet -> SSteamSDK: BSecure
LOG  : Network     , 1685206373202> 163.216.095> [27-05-23 18:52:53.202] > ZNet: Zomboid Server is VAC Secure
LOG  : General     , 1685206373306> 163.216.199> Workshop: onItemQueryCompleted handle=1 numResult=8
LOG  : General     , 1685206373311> 163.216.204> Workshop: GetItemState()=None ID=2950902979
LOG  : General     , 1685206373315> 163.216.208> Workshop: item state CheckItemState -> DownloadPending ID=2950902979
LOG  : General     , 1685206373349> 163.216.242> Workshop: DownloadPending GetItemState()=NeedsUpdate|DownloadPending ID=2950902979
LOG  : General     , 1685206373352> 163.216.245> Workshop: download 0/0 ID=2950902979
LOG  : General     , 1685206373453> 163.216.346> Workshop: DownloadPending GetItemState()=NeedsUpdate|DownloadPending ID=2950902979
LOG  : General     , 1685206373453> 163.216.347> Workshop: download 0/0 ID=2950902979
LOG  : General     , 1685206373556> 163.216.449> Workshop: DownloadPending GetItemState()=NeedsUpdate|DownloadPending ID=2950902979
LOG  : General     , 1685206373556> 163.216.450> Workshop: download 0/0 ID=2950902979
LOG  : General     , 1685206373659> 163.216.552> Workshop: DownloadPending GetItemState()=NeedsUpdate|Downloading|DownloadPending ID=2950902979
LOG  : General     , 1685206373659> 163.216.553> Workshop: download 0/61024 ID=2950902979
LOG  : General     , 1685206373759> 163.216.652> Workshop: DownloadPending GetItemState()=NeedsUpdate|Downloading|DownloadPending ID=2950902979
LOG  : General     , 1685206373759> 163.216.653> Workshop: download 0/61024 ID=2950902979
LOG  : General     , 1685206373860> 163.216.753> Workshop: DownloadPending GetItemState()=NeedsUpdate|Downloading|DownloadPending ID=2950902979
LOG  : General     , 1685206373860> 163.216.754> Workshop: download 0/61024 ID=2950902979
LOG  : General     , 1685206373963> 163.216.856> Workshop: DownloadPending GetItemState()=NeedsUpdate|Downloading|DownloadPending ID=2950902979
LOG  : General     , 1685206373963> 163.216.857> Workshop: download 0/61024 ID=2950902979
