DEBUG: General     , 1685430376916> 1.888.296> LoggerManager.init                  > Initializing...
LOG  : General     , 1685430376939> 1.888.314> cachedir set to "/home/sergio/Zomboid"
LOG  : General     , 1685430377000> 1.888.375> version=41.78.16 demo=false
LOG  : General     , 1685430377000> 1.888.375> revision= date= time=
LOG  : General     , 1685430377001> 1.888.376> server name is "zehio"
LOG  : General     , 1685430377001> 1.888.376> checking server WorldVersion in map_t.bin
LOG  : General     , 1685430377002> 1.888.377> Loading networking libraries...
LOG  : General     , 1685430377002> 1.888.377> Loading steam_api...
LOG  : General     , 1685430377003> 1.888.377> Loading RakNet64...
LOG  : General     , 1685430377004> 1.888.379> Loading ZNetJNI64...
LOG  : Network     , 1685430377007> 1.888.382> [30-05-23 09:06:17.007] > ZNet: SetLogLevel 2
LOG  : Network     , 1685430377008> 1.888.383> [30-05-23 09:06:17.008] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1685430377008> 1.888.383> SteamUtils initialised successfully
LOG  : General     , 1685430377263> 1.888.638> translator: language is ES
LOG  : General     , 1685430377374> 1.888.749> LightingFPS set to 15
LOG  : General     , 1685430377382> 1.888.757> reading /home/sergio/Zomboid/Server/zehio.ini
LOG  : General     , 1685430377383> 1.888.758> writing /home/sergio/Zomboid/Server/zehio.ini
LOG  : Network     , 1685430377387> 1.888.762> [30-05-23 09:06:17.387] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1685430377441> 1.888.816> [30-05-23 09:06:17.441] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1685430377442> 1.888.816> [30-05-23 09:06:17.441] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : General     , 1685430377443> 1.888.818> Waiting for response from Steam servers
LOG  : Network     , 1685430379047> 1.890.422> [30-05-23 09:06:19.047] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1685430379049> 1.890.424> [30-05-23 09:06:19.049] > ZNet: OnSteamServersConnected
LOG  : Network     , 1685430379050> 1.890.425> [30-05-23 09:06:19.050] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1685430379052> 1.890.427> [30-05-23 09:06:19.051] > ZNet: Public IP: 88.30.22.125
LOG  : Network     , 1685430379392> 1.890.767> [30-05-23 09:06:19.391] > ZNet: SSteamSDK -> SZombienet: OnPolicyResponse
LOG  : Network     , 1685430379392> 1.890.767> [30-05-23 09:06:19.392] > ZNet: OnPolicyResponse
LOG  : Network     , 1685430379393> 1.890.768> [30-05-23 09:06:19.393] > ZNet: SZombienet -> SSteamSDK: BSecure
LOG  : Network     , 1685430379394> 1.890.769> [30-05-23 09:06:19.394] > ZNet: Zomboid Server is VAC Secure
LOG  : General     , 1685430379403> 1.890.778> Workshop: onItemQueryCompleted handle=1 numResult=8
LOG  : General     , 1685430379409> 1.890.784> Workshop: GetItemState()=Installed ID=2950902979
LOG  : General     , 1685430379411> 1.890.786> Workshop: item state CheckItemState -> Ready ID=2950902979
LOG  : General     , 1685430379412> 1.890.786> Workshop: GetItemState()=Installed ID=2685168362
LOG  : General     , 1685430379412> 1.890.787> Workshop: item state CheckItemState -> Ready ID=2685168362
LOG  : General     , 1685430379412> 1.890.787> Workshop: GetItemState()=Installed ID=2822983942
LOG  : General     , 1685430379412> 1.890.787> Workshop: item state CheckItemState -> Ready ID=2822983942
LOG  : General     , 1685430379412> 1.890.787> Workshop: GetItemState()=Installed ID=2875848298
LOG  : General     , 1685430379412> 1.890.787> Workshop: item state CheckItemState -> Ready ID=2875848298
LOG  : General     , 1685430379413> 1.890.787> Workshop: GetItemState()=Installed ID=2487022075
LOG  : General     , 1685430379413> 1.890.787> Workshop: item state CheckItemState -> Ready ID=2487022075
LOG  : General     , 1685430379413> 1.890.788> Workshop: GetItemState()=Installed ID=2648779556
LOG  : General     , 1685430379413> 1.890.788> Workshop: item state CheckItemState -> Ready ID=2648779556
LOG  : General     , 1685430379413> 1.890.788> Workshop: GetItemState()=Installed ID=2912999938
LOG  : General     , 1685430379413> 1.890.788> Workshop: item state CheckItemState -> Ready ID=2912999938
LOG  : General     , 1685430379413> 1.890.788> Workshop: GetItemState()=Installed ID=2392709985
LOG  : General     , 1685430379413> 1.890.788> Workshop: item state CheckItemState -> Ready ID=2392709985
LOG  : General     , 1685430379415> 1.890.790> Workshop: 2950902979 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2950902979
LOG  : General     , 1685430379415> 1.890.790> Workshop: 2685168362 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2685168362
LOG  : General     , 1685430379416> 1.890.790> Workshop: 2822983942 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2822983942
